date;dhyw
31.10.2023;14.48
30.09.2023;13.17
31.08.2023;10.91
31.07.2023;8.68
30.06.2023;8.07
31.05.2023;8.31
30.04.2023;7.96
31.03.2023;8.26
28.02.2023;8.05
31.01.2023;7.52
31.12.2022;7.87
30.11.2022;8.27
31.10.2022;8.20
30.09.2022;7.80
31.08.2022;7.84
31.07.2022;8.10
30.06.2022;8.58
31.05.2022;10.96
30.04.2022;13.21
31.03.2022;11.80
28.02.2022;9.51
31.01.2022;9.20
31.12.2021;8.90
30.11.2021;8.16
31.10.2021;7.16
30.09.2021;6.55
31.08.2021;6.49
31.07.2021;6.47
30.06.2021;5.53
31.05.2021;5.01
30.04.2021;5.01
31.03.2021;4.86
28.02.2021;4.42
31.01.2021;4.40
31.12.2020;4.42
30.11.2020;4.25
31.10.2020;4.34
30.09.2020;4.14
31.08.2020;4.14
31.07.2020;4.36
30.06.2020;4.55
31.05.2020;5.49
30.04.2020;5.56
31.03.2020;5.46
29.02.2020;5.53
31.01.2020;5.78
31.12.2019;5.98
30.11.2019;6.16
31.10.2019;6.44
30.09.2019;6.65
31.08.2019;6.83
31.07.2019;7.00
30.06.2019;7.17
31.05.2019;7.42
30.04.2019;7.46
31.03.2019;7.68
28.02.2019;7.88
31.01.2019;7.43
31.12.2018;7.92
30.11.2018;7.44
31.10.2018;7.32
30.09.2018;7.05
31.08.2018;6.60
31.07.2018;6.27
30.06.2018;6.42
31.05.2018;6.47
30.04.2018;6.44
31.03.2018;6.55
28.02.2018;6.53
31.01.2018;6.94
31.12.2017;7.54
30.11.2017;7.36
31.10.2017;8.02
30.09.2017;7.73
31.08.2017;8.20
31.07.2017;8.14
30.06.2017;8.49
31.05.2017;8.40
30.04.2017;9.41
31.03.2017;8.75
28.02.2017;9.12
31.01.2017;9.53
31.12.2016;9.59
30.11.2016;9.70
31.10.2016;9.64
30.09.2016;10.01
31.08.2016;9.70
31.07.2016;9.93
30.06.2016;10.27
31.05.2016;10.60
30.04.2016;10.66
31.03.2016;10.69
29.02.2016;10.62
31.01.2016;10.21
31.12.2015;10.64
30.11.2015;11.13
31.10.2015;10.88
30.09.2015;10.50
31.08.2015;10.92
31.07.2015;11.42
30.06.2015;11.95
31.05.2015;12.70
30.04.2015;13.42
31.03.2015;14.35
28.02.2015;13.38
31.01.2015;16.04
31.12.2014;15.67
30.11.2014;11.53
31.10.2014;10.45
30.09.2014;9.73
31.08.2014;9.69
31.07.2014;9.43
30.06.2014;9.64
31.05.2014;9.62
30.04.2014;8.57
31.03.2014;8.84
28.02.2014;8.02
31.01.2014;7.56
