"Date","Price","Open","High","Low","Vol.","Change %"
"02/25/2022","26.7","28.4","28.4","25.0","941.33K","-1.09%"
"02/24/2022","27.0","31.3","31.3","24.9","1.11M","-7.87%"
"02/22/2022","29.3","29.5","29.8","29.1","605.79K","0.69%"
"02/21/2022","29.1","29.6","29.9","28.8","1.04M","-1.79%"
"02/18/2022","29.6","29.9","29.9","29.3","340.06K","0.00%"
"02/17/2022","29.6","29.7","30.0","29.5","225.36K","-0.25%"
"02/16/2022","29.7","29.9","29.9","29.4","394.65K","0.25%"
"02/15/2022","29.6","29.4","29.9","29.2","311.22K","0.65%"
"02/14/2022","29.4","29.7","29.9","29.0","470.53K","-0.98%"
"02/11/2022","29.7","29.6","30.2","29.3","349.06K","0.00%"
"02/10/2022","29.7","29.9","30.0","29.4","318.33K","-0.40%"
"02/09/2022","29.8","29.5","29.8","29.4","258.69K","0.93%"
"02/08/2022","29.5","29.7","29.7","29.3","296.96K","-0.37%"
"02/07/2022","29.6","29.7","29.8","29.3","244.11K","-0.27%"
"02/04/2022","29.7","30.3","30.3","29.5","492.32K","-1.07%"
"02/03/2022","30.0","30.2","30.3","29.9","219.50K","-0.41%"
"02/02/2022","30.1","30.4","30.4","30.1","254.03K","-0.84%"
"02/01/2022","30.4","30.3","30.5","30.1","291.01K","0.36%"
"01/31/2022","30.3","30.2","30.4","29.8","286.10K","1.19%"
"01/28/2022","29.9","30.2","30.2","29.3","411.90K","0.00%"
"01/27/2022","30.0","31.1","31.1","29.8","451.98K","-2.30%"
"01/26/2022","30.7","30.5","31.4","30.2","431.83K","1.35%"
"01/25/2022","30.3","30.4","30.4","29.9","444.75K","-0.39%"
"01/24/2022","30.4","30.4","30.8","29.8","962.72K","0.00%"
"01/21/2022","30.4","30.8","30.8","30.2","512.89K","-0.93%"
"01/20/2022","30.7","30.9","31.0","30.5","430.40K","0.00%"
"01/19/2022","30.6","31.0","31.0","30.5","450.21K","-0.58%"
"01/18/2022","30.8","31.0","31.1","30.7","637.91K","-1.15%"
"01/17/2022","31.2","31.2","31.4","30.9","495.61K","0.00%"
"01/14/2022","31.2","31.2","31.5","31.0","587.44K","0.00%"
"01/13/2022","31.2","30.7","31.5","30.5","684.00K","1.56%"
"01/12/2022","30.7","30.7","31.0","30.3","404.08K","1.20%"
"01/11/2022","30.3","30.1","30.4","30.1","353.28K","0.70%"
"01/10/2022","30.1","30.7","30.7","29.9","565.36K","-2.43%"
"01/06/2022","30.9","31.2","31.3","30.8","520.69K","-1.31%"
"01/05/2022","31.3","30.9","31.4","30.7","541.42K","2.01%"
"01/04/2022","30.7","30.3","30.8","30.1","453.74K","1.30%"
"01/03/2022","30.3","30.0","30.4","29.7","490.08K","0.90%"
"12/30/2021","30.0","30.0","30.2","29.7","368.26K","0.40%"
"12/29/2021","29.9","29.8","30.0","29.6","414.58K","0.37%"
"12/28/2021","29.8","29.5","29.9","29.3","675.10K","0.78%"
"12/27/2021","29.5","29.0","29.6","29.0","380.31K","0.39%"
"12/24/2021","29.4","29.1","29.5","29.1","244.79K","0.19%"
"12/23/2021","29.4","29.3","29.4","29.0","310.07K","0.00%"
"12/22/2021","29.3","29.2","29.3","28.8","261.46K","0.67%"
"12/21/2021","29.1","28.9","29.2","28.8","276.04K","1.13%"
"12/20/2021","28.8","28.8","28.9","28.4","402.98K","-1.05%"
"12/17/2021","29.1","29.5","29.5","29.1","224.91K","-0.48%"
"12/16/2021","29.3","29.3","29.6","29.2","347.43K","0.00%"
"12/15/2021","29.2","29.1","29.5","28.8","311.06K","0.62%"
"12/14/2021","29.1","29.3","29.3","28.4","649.96K","-0.39%"
"12/13/2021","29.2","29.3","29.4","28.9","434.05K","-0.38%"
"12/10/2021","29.3","29.4","29.4","29.0","199.89K","0.00%"
"12/09/2021","29.3","29.5","29.7","29.2","191.98K","-0.83%"
"12/08/2021","29.5","29.6","29.9","29.4","232.30K","0.00%"
"12/07/2021","29.6","29.2","29.9","29.0","309.14K","1.35%"
"12/06/2021","29.2","28.6","29.2","28.5","1.08M","2.08%"
"12/03/2021","28.6","29.1","29.1","28.5","307.28K","-1.28%"
"12/02/2021","28.9","29.2","29.3","28.7","347.09K","0.00%"
"12/01/2021","28.9","29.0","29.3","28.8","357.06K","0.57%"
"11/30/2021","28.8","29.1","29.3","28.3","391.75K","-1.52%"
