"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.02.2020","2.433,0","2.437,0","2.449,0","2.403,0","7,02K","-0,73%"
"13.02.2020","2.451,0","2.466,0","2.466,0","2.435,0","7,16K","-0,20%"
"12.02.2020","2.456,0","2.483,0","2.483,0","2.445,0","4,55K","-1,09%"
"11.02.2020","2.483,0","2.499,0","2.510,0","2.450,0","5,00K","-0,52%"
"10.02.2020","2.496,0","2.476,0","2.500,0","2.472,0","1,56K","-0,24%"
"07.02.2020","2.502,0","2.485,0","2.510,0","2.474,0","2,59K","0,68%"
"06.02.2020","2.485,0","2.455,0","2.487,0","2.450,0","2,66K","1,59%"
"05.02.2020","2.446,0","2.454,0","2.490,0","2.424,0","1,23K","0,16%"
"04.02.2020","2.442,0","2.428,0","2.451,0","2.401,0","2,47K","0,58%"
"03.02.2020","2.428,0","2.407,0","2.440,0","2.407,0","2,22K","0,46%"
"31.01.2020","2.417,0","2.418,0","2.425,0","2.406,0","5,51K","0,17%"
"30.01.2020","2.413,0","2.405,0","2.420,0","2.397,0","1,30K","-0,25%"
"29.01.2020","2.419,0","2.423,0","2.427,0","2.404,0","1,60K","0,42%"
"28.01.2020","2.409,0","2.403,0","2.422,0","2.399,0","3,86K","-0,37%"
"27.01.2020","2.418,0","2.415,0","2.424,0","2.403,0","5,02K","-0,45%"
"24.01.2020","2.429,0","2.422,0","2.430,0","2.420,0","1,88K","0,29%"
"23.01.2020","2.422,0","2.408,0","2.431,0","2.390,0","2,65K","-0,33%"
"22.01.2020","2.430,0","2.407,0","2.435,0","2.406,0","2,37K","0,54%"
"21.01.2020","2.417,0","2.400,0","2.421,0","2.400,0","3,07K","-0,08%"
"20.01.2020","2.419,0","2.401,0","2.419,0","2.391,0","4,71K","0,67%"
"17.01.2020","2.403,0","2.400,0","2.409,0","2.386,0","5,28K","-0,37%"
"16.01.2020","2.412,0","2.402,0","2.420,0","2.402,0","1,19K","-0,12%"
"15.01.2020","2.415,0","2.422,0","2.422,0","2.401,0","0,79K","0,17%"
"14.01.2020","2.411,0","2.408,0","2.416,0","2.404,0","0,95K","0,42%"
"13.01.2020","2.401,0","2.415,0","2.417,0","2.384,0","1,07K","0,08%"
