"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-02-26;335,67;335,67;335,67;335,67;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-02-27;338,35;338,35;338,35;338,35;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-02-28;341,52;341,52;341,52;341,52;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-03;352,24;352,24;352,24;352,24;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-04;348,4;348,4;348,4;348,4;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-05;357,65;357,65;357,65;357,65;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-06;359,97;359,97;359,97;359,97;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-07;354,87;354,87;354,87;354,87;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-11;349,89;349,89;349,89;349,89;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-12;343,24;343,24;343,24;343,24;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-13;346,83;346,83;346,83;346,83;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-14;345,65;345,65;345,65;345,65;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-17;337,83;337,83;337,83;337,83;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-18;330,14;330,14;330,14;330,14;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-19;333,97;333,97;333,97;333,97;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-20;334,91;334,91;334,91;334,91;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-21;338,76;338,76;338,76;338,76;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-24;332,3;332,3;332,3;332,3;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-25;333,57;333,57;333,57;333,57;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-26;333,3;333,3;333,3;333,3;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-27;332,7;332,7;332,7;332,7;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-28;332,88;332,88;332,88;332,88;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-03-31;325,56;325,56;325,56;325,56;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-01;327,44;327,44;327,44;327,44;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-02;331,02;331,02;331,02;331,02;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-03;326,94;326,94;326,94;326,94;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-04;330,53;330,53;330,53;330,53;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-07;336,3;336,3;336,3;336,3;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-08;337,48;337,48;337,48;337,48;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-09;336,53;336,53;336,53;336,53;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-10;336,76;336,76;336,76;336,76;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-11;338,21;338,21;338,21;338,21;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-14;341,99;341,99;341,99;341,99;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-15;345,97;345,97;345,97;345,97;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-16;344,63;344,63;344,63;344,63;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-17;348,61;348,61;348,61;348,61;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-18;356,81;356,81;356,81;356,81;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-21;363,89;363,89;363,89;363,89;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-22;364,89;364,89;364,89;364,89;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-23;373,05;373,05;373,05;373,05;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-24;366,21;366,21;366,21;366,21;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-25;371,96;371,96;371,96;371,96;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-28;382,74;382,74;382,74;382,74;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-29;376,26;376,26;376,26;376,26;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-04-30;369,77;369,77;369,77;369,77;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-05;380,22;380,22;380,22;380,22;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-06;379,88;379,88;379,88;379,88;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-07;375,86;375,86;375,86;375,86;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-08;374,79;374,79;374,79;374,79;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-12;385,27;385,27;385,27;385,27;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-13;384,56;384,56;384,56;384,56;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-14;387,04;387,04;387,04;387,04;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-15;391,82;391,82;391,82;391,82;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-16;399,74;399,74;399,74;399,74;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-19;404,33;404,33;404,33;404,33;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-20;399,47;399,47;399,47;399,47;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-21;399,37;399,37;399,37;399,37;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-22;411,22;411,22;411,22;411,22;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-23;415,26;415,26;415,26;415,26;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2003-05-26;420,99;420,99;420,99;420,99;0;;
