????;1 ????;?? 2 ?? 7 ??.;?? 8 ?? 30 ??.;?? 31 ?? 90 ??.;?? 91 ?? 180 ??.;?? 181 ??. ?? 1 ????
?????? 2023 ?.;14,78;—;16,04;—;—;—
??????? 2023 ?.;13,13;14,19;—;—;—;—
???????? 2023 ?.;12,31;—;12,92;—;—;—
?????? 2023 ?.;10,35;10,17;—;9,34;—;—
???? 2023 ?.;7,85;—;8,81;—;—;—
???? 2023 ?.;7,36;7,85;—;—;—;—
??? 2023 ?.;7,27;7,61;7,87;—;—;—
?????? 2023 ?.;7,13;—;—;—;—;—
???? 2023 ?.;7,36;—;—;—;—;—
??????? 2023 ?.;7,12;7,60;—;—;—;—
?????? 2023 ?.;7,00;—;—;—;—;—
??????? 2022 ?.;7,33;7,59;7,47;—;—;—
?????? 2022 ?.;7,31;7,79;—;—;—;—
??????? 2022 ?.;7,69;7,73;—;—;—;—
???????? 2022 ?.;7,67;8,25;—;—;—;—
?????? 2022 ?.;7,95;8,19;—;—;—;—
???? 2022 ?.;8,90;8,23;—;—;—;—
???? 2022 ?.;9,64;—;—;—;—;—
??? 2022 ?.;13,23;—;—;—;—;—
?????? 2022 ?.;17,11;—;—;—;—;—
???? 2022 ?.;19,86;—;—;—;—;—
??????? 2022 ?.;9,67;9,24;—;9,50;—;—
?????? 2022 ?.;8,24;8,32;—;9,46;—;—
??????? 2021 ?.;7,56;7,73;8,27;—;—;—
?????? 2021 ?.;7,28;—;—;—;—;—
??????? 2021 ?.;6,79;6,70;—;7,07;—;8,77
???????? 2021 ?.;6,51;6,61;6,76;—;—;—
?????? 2021 ?.;6,27;6,48;—;—;—;—
???? 2021 ?.;5,75;5,80;—;—;—;—
???? 2021 ?.;5,05;5,44;—;5,94;—;—
??? 2021 ?.;4,71;4,58;—;—;—;—
?????? 2021 ?.;4,46;4,42;4,89;—;—;—
???? 2021 ?.;4,16;—;—;—;5,19;—
??????? 2021 ?.;3,98;4,22;—;4,60;—;5,29
?????? 2021 ?.;4,30;4,35;4,35;4,29;—;—
??????? 2020 ?.;4,14;4,22;4,36;4,56;4,95;—
?????? 2020 ?.;4,03;4,16;—;—;—;—
??????? 2020 ?.;4,15;4,16;4,27;—;—;—
???????? 2020 ?.;4,14;4,19;4,13;—;—;—
?????? 2020 ?.;4,08;4,15;4,24;—;—;—
???? 2020 ?.;4,13;4,25;—;—;—;—
???? 2020 ?.;4,87;4,56;4,67;—;—;5,31
??? 2020 ?.;5,34;5,45;5,45;—;—;—
?????? 2020 ?.;5,89;5,83;5,78;—;—;6,60
???? 2020 ?.;5,72;—;—;—;—;6,63
??????? 2020 ?.;5,88;5,70;—;—;—;—
?????? 2020 ?.;5,97;5,99;—;—;—;—
??????? 2019 ?.;6,07;6,20;6,16;—;—;—
?????? 2019 ?.;6,36;6,28;—;—;—;—
??????? 2019 ?.;6,72;6,67;—;—;—;—
???????? 2019 ?.;6,78;6,96;—;—;—;—
?????? 2019 ?.;7,06;6,96;—;—;—;—
???? 2019 ?.;7,24;7,16;—;—;—;—
???? 2019 ?.;7,43;7,53;—;7,46;—;7,45
??? 2019 ?.;7,57;7,45;—;—;—;—
?????? 2019 ?.;7,64;7,63;7,62;—;—;—
???? 2019 ?.;7,56;7,66;—;—;—;8,02
??????? 2019 ?.;7,44;7,58;—;—;—;—
?????? 2019 ?.;7,59;7,60;—;8,50;—;—
??????? 2018 ?.;7,42;7,59;7,62;8,75;—;—
?????? 2018 ?.;7,17;7,35;7,04;—;—;—
