date;1_day;from_2_to_7;from_8_to_30;from_31_to_90;from_91_to_180;from_181_to_1_year
01.11.2023;14.79;15.19;15.24;—;—;—
01.10.2023;13.08;13.33;14.16;—;—;—
01.09.2023;12.28;12.73;12.73;—;—;—
01.08.2023;10.33;10.62;—;9.34;—;—
01.07.2023;7.83;7.83;9.03;9.71;—;11.81
01.06.2023;7.33;7.76;8.81;—;—;—
01.05.2023;7.25;7.6;8.7;—;—;—
01.04.2023;7.16;7.72;8.1;—;—;—
01.03.2023;7.35;7.51;8.4;—;—;—
01.02.2023;7.11;7.6;—;—;—;—
01.01.2023;7;7.6;—;—;—;—
01.12.2022;7.31;7.63;7.62;—;—;—
01.11.2022;7.31;7.82;—;—;—;—
01.10.2022;7.67;7.81;—;—;—;—
01.09.2022;7.68;7.96;7.96;—;—;—
01.08.2022;7.94;8.23;—;9.37;—;—
01.07.2022;8.9;9.18;9.46;13.25;—;10.65
01.06.2022;9.63;—;—;—;9.76;—
01.05.2022;13.25;13.88;15.75;15.31;15.66;—
01.04.2022;17.08;19.22;—;21.27;—;—
01.03.2022;19.87;24;—;—;22.07;—
01.02.2022;9.57;9.27;9.9;9.7;—;—
01.01.2022;8.29;8.35;8.5;8.96;—;—
01.12.2021;7.62;7.85;8.1;8.68;—;10.32
01.11.2021;7.33;7.56;7.53;7.91;—;—
01.10.2021;6.81;6.91;—;7.55;—;8.78
01.09.2021;6.57;6.65;6.68;7.64;—;—
01.08.2021;6.3;6.48;6.91;6.95;—;—
01.07.2021;5.76;5.68;—;6.85;—;—
01.06.2021;5.1;5.31;—;5.99;—;—
01.05.2021;4.79;4.82;—;5.59;—;—
01.04.2021;4.51;4.66;4.89;5.59;—;—
01.03.2021;4.22;4.31;—;4.84;5.19;—
01.02.2021;4.06;4.19;4.2;4.67;—;5.17
01.01.2021;4.31;4.34;4.51;4.66;—;—
01.12.2020;4.17;4.21;4.4;4.63;6.06;—
01.11.2020;4.06;4.21;4.24;4.79;—;—
01.10.2020;4.17;4.22;4.25;4.64;—;—
01.09.2020;4.17;4.2;4.19;4.23;4.61;—
01.08.2020;4.16;4.14;4.24;4.27;—;—
01.07.2020;4.23;4.18;4.4;5.07;—;—
01.06.2020;4.99;4.86;4.7;4.46;—;5.31
01.05.2020;5.47;5.46;5.59;—;—;—
01.04.2020;5.99;5.85;5.88;—;—;6.6
01.03.2020;5.79;5.86;5.99;6.72;4.38;6.77
01.02.2020;5.94;5.84;6;6.07;—;—
01.01.2020;6.04;5.96;6.1;—;—;—
