history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
RTSI;MREDC;28.12.2016;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;159646,69;159646,69;159646,69;159646,69;;;;2;;RUB;;3;
RTSI;MREDC;04.01.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;158952,36;158952,36;158952,36;158952,36;;;;2;;RUB;;3;
RTSI;MREDC;11.01.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;158470,18;158470,18;158470,18;158470,18;;;;2;;RUB;;3;
RTSI;MREDC;18.01.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;157778,75;157778,75;157778,75;157778,75;;;;2;;RUB;;3;
RTSI;MREDC;25.01.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;157832,09;157832,09;157832,09;157832,09;;;;2;;RUB;;3;
RTSI;MREDC;01.02.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;159664,11;159664,11;159664,11;159664,11;;;;2;;RUB;;3;
RTSI;MREDC;08.02.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;159020,3;159020,3;159020,3;159020,3;;;;2;;RUB;;3;
RTSI;MREDC;15.02.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;159135,45;159135,45;159135,45;159135,45;;;;2;;RUB;;3;
RTSI;MREDC;22.02.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;160328,31;160328,31;160328,31;160328,31;;;;2;;RUB;;3;
RTSI;MREDC;01.03.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;159480,39;159480,39;159480,39;159480,39;;;;2;;RUB;;3;
RTSI;MREDC;08.03.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;160969,3;160969,3;160969,3;160969,3;;;;2;;RUB;;3;
RTSI;MREDC;15.03.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;161290,53;161290,53;161290,53;161290,53;;;;2;;RUB;;3;
RTSI;MREDC;22.03.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;160626,76;160626,76;160626,76;160626,76;;;;2;;RUB;;3;
RTSI;MREDC;29.03.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;159647,91;159647,91;159647,91;159647,91;;;;2;;RUB;;3;
RTSI;MREDC;05.04.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;159775,14;159775,14;159775,14;159775,14;;;;2;;RUB;;3;
RTSI;MREDC;12.04.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;158288,8;158288,8;158288,8;158288,8;;;;2;;RUB;;3;
RTSI;MREDC;19.04.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;158677,63;158677,63;158677,63;158677,63;;;;2;;RUB;;3;
RTSI;MREDC;26.04.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;159314,81;159314,81;159314,81;159314,81;;;;2;;RUB;;3;
RTSI;MREDC;03.05.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;158496,88;158496,88;158496,88;158496,88;;;;2;;RUB;;3;
RTSI;MREDC;10.05.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;158571,02;158571,02;158571,02;158571,02;;;;2;;RUB;;3;
RTSI;MREDC;17.05.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;157885,33;157885,33;157885,33;157885,33;;;;2;;RUB;;3;
RTSI;MREDC;24.05.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;157767,2;157767,2;157767,2;157767,2;;;;2;;RUB;;3;
RTSI;MREDC;31.05.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;156256,45;156256,45;156256,45;156256,45;;;;2;;RUB;;3;
RTSI;MREDC;07.06.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;156792,59;156792,59;156792,59;156792,59;;;;2;;RUB;;3;
RTSI;MREDC;14.06.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;157168,96;157168,96;157168,96;157168,96;;;;2;;RUB;;3;
RTSI;MREDC;21.06.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;157126,29;157126,29;157126,29;157126,29;;;;2;;RUB;;3;
RTSI;MREDC;28.06.2017;Индекс недвиж-ти ДомКлик Москва;Индекс московской недвижимости ДомКлик;158539,88;158539,88;158539,88;158539,88;;;;2;;RUB;;3;
