history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
RTSI;RUCBCPNS;29.12.2018;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100;100;100;100;;;;2;;RUB;;3;
RTSI;RUCBCPNS;03.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,31;100,31;100,31;100,31;;;;2;;RUB;;3;
RTSI;RUCBCPNS;04.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,47;100,47;100,47;100,47;;;;2;;RUB;;3;
RTSI;RUCBCPNS;08.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,32;100,32;100,32;100,32;;;;2;;RUB;;3;
RTSI;RUCBCPNS;09.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,32;100,32;100,32;100,32;;;;2;;RUB;;3;
RTSI;RUCBCPNS;10.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,43;100,43;100,43;100,43;;;;2;;RUB;;3;
RTSI;RUCBCPNS;11.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,6;100,6;100,6;100,6;;;;2;;RUB;;3;
RTSI;RUCBCPNS;14.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,57;100,57;100,57;100,57;;;;2;;RUB;;3;
RTSI;RUCBCPNS;15.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,54;100,54;100,54;100,54;;;;2;;RUB;;3;
RTSI;RUCBCPNS;16.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,61;100,61;100,61;100,61;;;;2;;RUB;;3;
RTSI;RUCBCPNS;17.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,6;100,6;100,6;100,6;;;;2;;RUB;;3;
RTSI;RUCBCPNS;18.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,55;100,55;100,55;100,55;;;;2;;RUB;;3;
RTSI;RUCBCPNS;21.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,57;100,57;100,57;100,57;;;;2;;RUB;;3;
RTSI;RUCBCPNS;22.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,56;100,56;100,56;100,56;;;;2;;RUB;;3;
RTSI;RUCBCPNS;23.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,61;100,61;100,61;100,61;;;;2;;RUB;;3;
RTSI;RUCBCPNS;24.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,5;100,5;100,5;100,5;;;;2;;RUB;;3;
RTSI;RUCBCPNS;25.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,6;100,6;100,6;100,6;;;;2;;RUB;;3;
RTSI;RUCBCPNS;28.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,6;100,6;100,6;100,6;;;;2;;RUB;;3;
RTSI;RUCBCPNS;29.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,48;100,48;100,48;100,48;;;;2;;RUB;;3;
RTSI;RUCBCPNS;30.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,6;100,6;100,6;100,6;;;;2;;RUB;;3;
RTSI;RUCBCPNS;31.01.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,57;100,57;100,57;100,57;;;;2;;RUB;;3;
RTSI;RUCBCPNS;01.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,55;100,55;100,55;100,55;;;;2;;RUB;;3;
RTSI;RUCBCPNS;04.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,58;100,58;100,58;100,58;;;;2;;RUB;;3;
RTSI;RUCBCPNS;05.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,57;100,57;100,57;100,57;;;;2;;RUB;;3;
RTSI;RUCBCPNS;06.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,63;100,63;100,63;100,63;;;;2;;RUB;;3;
RTSI;RUCBCPNS;07.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,59;100,59;100,59;100,59;;;;2;;RUB;;3;
RTSI;RUCBCPNS;08.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,52;100,52;100,52;100,52;;;;2;;RUB;;3;
RTSI;RUCBCPNS;11.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,56;100,56;100,56;100,56;;;;2;;RUB;;3;
RTSI;RUCBCPNS;12.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,57;100,57;100,57;100,57;;;;2;;RUB;;3;
RTSI;RUCBCPNS;13.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,51;100,51;100,51;100,51;;;;2;;RUB;;3;
RTSI;RUCBCPNS;14.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,52;100,52;100,52;100,52;;;;2;;RUB;;3;
RTSI;RUCBCPNS;15.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,37;100,37;100,37;100,37;;;;2;;RUB;;3;
RTSI;RUCBCPNS;18.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,47;100,47;100,47;100,47;;;;2;;RUB;;3;
RTSI;RUCBCPNS;19.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,38;100,38;100,38;100,38;;;;2;;RUB;;3;
RTSI;RUCBCPNS;20.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,41;100,41;100,41;100,41;;;;2;;RUB;;3;
RTSI;RUCBCPNS;21.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,4;100,4;100,4;100,4;;;;2;;RUB;;3;
RTSI;RUCBCPNS;22.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,41;100,41;100,41;100,41;;;;2;;RUB;;3;
RTSI;RUCBCPNS;25.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,2;100,2;100,2;100,2;;;;2;;RUB;;3;
RTSI;RUCBCPNS;26.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,35;100,35;100,35;100,35;;;;2;;RUB;;3;
RTSI;RUCBCPNS;27.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,37;100,37;100,37;100,37;;;;2;;RUB;;3;
RTSI;RUCBCPNS;28.02.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,39;100,39;100,39;100,39;;;;2;;RUB;;3;
RTSI;RUCBCPNS;01.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,46;100,46;100,46;100,46;;;;2;;RUB;;3;
RTSI;RUCBCPNS;04.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,5;100,5;100,5;100,5;;;;2;;RUB;;3;
RTSI;RUCBCPNS;05.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,5;100,5;100,5;100,5;;;;2;;RUB;;3;
RTSI;RUCBCPNS;06.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,47;100,47;100,47;100,47;;;;2;;RUB;;3;
RTSI;RUCBCPNS;07.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,48;100,48;100,48;100,48;;;;2;;RUB;;3;
RTSI;RUCBCPNS;11.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,54;100,54;100,54;100,54;;;;2;;RUB;;3;
RTSI;RUCBCPNS;12.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,6;100,6;100,6;100,6;;;;2;;RUB;;3;
RTSI;RUCBCPNS;13.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,48;100,48;100,48;100,48;;;;2;;RUB;;3;
RTSI;RUCBCPNS;14.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,46;100,46;100,46;100,46;;;;2;;RUB;;3;
RTSI;RUCBCPNS;15.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,52;100,52;100,52;100,52;;;;2;;RUB;;3;
RTSI;RUCBCPNS;18.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,59;100,59;100,59;100,59;;;;2;;RUB;;3;
RTSI;RUCBCPNS;19.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,61;100,61;100,61;100,61;;;;2;;RUB;;3;
RTSI;RUCBCPNS;20.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,63;100,63;100,63;100,63;;;;2;;RUB;;3;
RTSI;RUCBCPNS;21.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,72;100,72;100,72;100,72;;;;2;;RUB;;3;
RTSI;RUCBCPNS;22.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,77;100,77;100,77;100,77;;;;2;;RUB;;3;
RTSI;RUCBCPNS;25.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,68;100,68;100,68;100,68;;;;2;;RUB;;3;
RTSI;RUCBCPNS;26.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,77;100,77;100,77;100,77;;;;2;;RUB;;3;
RTSI;RUCBCPNS;27.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,77;100,77;100,77;100,77;;;;2;;RUB;;3;
RTSI;RUCBCPNS;28.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,72;100,72;100,72;100,72;;;;2;;RUB;;3;
RTSI;RUCBCPNS;29.03.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,75;100,75;100,75;100,75;;;;2;;RUB;;3;
RTSI;RUCBCPNS;01.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,71;100,71;100,71;100,71;;;;2;;RUB;;3;
RTSI;RUCBCPNS;02.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,73;100,73;100,73;100,73;;;;2;;RUB;;3;
RTSI;RUCBCPNS;03.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,68;100,68;100,68;100,68;;;;2;;RUB;;3;
RTSI;RUCBCPNS;04.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,77;100,77;100,77;100,77;;;;2;;RUB;;3;
RTSI;RUCBCPNS;05.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,73;100,73;100,73;100,73;;;;2;;RUB;;3;
RTSI;RUCBCPNS;08.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,78;100,78;100,78;100,78;;;;2;;RUB;;3;
RTSI;RUCBCPNS;09.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,82;100,82;100,82;100,82;;;;2;;RUB;;3;
RTSI;RUCBCPNS;10.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,84;100,84;100,84;100,84;;;;2;;RUB;;3;
RTSI;RUCBCPNS;11.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,32;101,32;101,32;101,32;;;;2;;RUB;;3;
RTSI;RUCBCPNS;12.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,3;101,3;101,3;101,3;;;;2;;RUB;;3;
RTSI;RUCBCPNS;15.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,37;101,37;101,37;101,37;;;;2;;RUB;;3;
RTSI;RUCBCPNS;16.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,96;100,96;100,96;100,96;;;;2;;RUB;;3;
RTSI;RUCBCPNS;17.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,93;100,93;100,93;100,93;;;;2;;RUB;;3;
RTSI;RUCBCPNS;18.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,92;100,92;100,92;100,92;;;;2;;RUB;;3;
RTSI;RUCBCPNS;19.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,01;101,01;101,01;101,01;;;;2;;RUB;;3;
RTSI;RUCBCPNS;22.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101;101;101;101;;;;2;;RUB;;3;
RTSI;RUCBCPNS;23.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,9;100,9;100,9;100,9;;;;2;;RUB;;3;
RTSI;RUCBCPNS;24.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,92;100,92;100,92;100,92;;;;2;;RUB;;3;
RTSI;RUCBCPNS;25.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,89;100,89;100,89;100,89;;;;2;;RUB;;3;
RTSI;RUCBCPNS;26.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,91;100,91;100,91;100,91;;;;2;;RUB;;3;
RTSI;RUCBCPNS;29.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;100,99;100,99;100,99;100,99;;;;2;;RUB;;3;
RTSI;RUCBCPNS;30.04.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,17;101,17;101,17;101,17;;;;2;;RUB;;3;
RTSI;RUCBCPNS;02.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,2;101,2;101,2;101,2;;;;2;;RUB;;3;
RTSI;RUCBCPNS;03.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,33;101,33;101,33;101,33;;;;2;;RUB;;3;
RTSI;RUCBCPNS;06.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,18;101,18;101,18;101,18;;;;2;;RUB;;3;
RTSI;RUCBCPNS;07.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,18;101,18;101,18;101,18;;;;2;;RUB;;3;
RTSI;RUCBCPNS;08.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,18;101,18;101,18;101,18;;;;2;;RUB;;3;
RTSI;RUCBCPNS;10.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,28;101,28;101,28;101,28;;;;2;;RUB;;3;
RTSI;RUCBCPNS;13.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,14;101,14;101,14;101,14;;;;2;;RUB;;3;
RTSI;RUCBCPNS;14.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,14;101,14;101,14;101,14;;;;2;;RUB;;3;
RTSI;RUCBCPNS;15.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,15;101,15;101,15;101,15;;;;2;;RUB;;3;
RTSI;RUCBCPNS;16.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,23;101,23;101,23;101,23;;;;2;;RUB;;3;
RTSI;RUCBCPNS;17.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,26;101,26;101,26;101,26;;;;2;;RUB;;3;
RTSI;RUCBCPNS;20.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,39;101,39;101,39;101,39;;;;2;;RUB;;3;
RTSI;RUCBCPNS;21.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,41;101,41;101,41;101,41;;;;2;;RUB;;3;
RTSI;RUCBCPNS;22.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,49;101,49;101,49;101,49;;;;2;;RUB;;3;
RTSI;RUCBCPNS;23.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,62;101,62;101,62;101,62;;;;2;;RUB;;3;
RTSI;RUCBCPNS;24.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,62;101,62;101,62;101,62;;;;2;;RUB;;3;
RTSI;RUCBCPNS;27.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,65;101,65;101,65;101,65;;;;2;;RUB;;3;
RTSI;RUCBCPNS;28.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,6;101,6;101,6;101,6;;;;2;;RUB;;3;
RTSI;RUCBCPNS;29.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,59;101,59;101,59;101,59;;;;2;;RUB;;3;
RTSI;RUCBCPNS;30.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,53;101,53;101,53;101,53;;;;2;;RUB;;3;
RTSI;RUCBCPNS;31.05.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,63;101,63;101,63;101,63;;;;2;;RUB;;3;
RTSI;RUCBCPNS;03.06.2019;RUCBCPNS;Индекс МосБиржи Корпоративных Облигаций RUCBCPNS;101,69;101,69;101,69;101,69;;;;2;;RUB;;3;
