history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;RUCBICP;31.12.2002;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100;;;;;;;2;;RUB;;3;
SNDX;RUCBICP;04.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;99,88;100;100;99,71;22674828,6;;;2;;RUB;;3;
SNDX;RUCBICP;05.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,27;99,88;100,27;99,85;93193595,8;;;2;;RUB;;3;
SNDX;RUCBICP;08.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,46;100,27;100,48;100,14;188004685,6;;;2;;RUB;;3;
SNDX;RUCBICP;09.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,6;100,46;100,62;100,46;209484248,3;;;2;;RUB;;3;
SNDX;RUCBICP;10.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,65;100,6;100,7;100,59;156619512,6;;;2;;RUB;;3;
SNDX;RUCBICP;13.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,84;100,65;100,84;100,64;72505100,9;;;2;;RUB;;3;
SNDX;RUCBICP;14.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,93;100,84;100,93;100,84;105310187,2;;;2;;RUB;;3;
SNDX;RUCBICP;15.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,91;100,93;100,96;100,89;146494602;;;2;;RUB;;3;
SNDX;RUCBICP;16.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,95;100,91;100,98;100,87;49442601,1;;;2;;RUB;;3;
SNDX;RUCBICP;17.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,93;100,95;100,99;100,93;71369784,2;;;2;;RUB;;3;
SNDX;RUCBICP;20.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;101,06;100,93;101,06;100,9;92653314,5;;;2;;RUB;;3;
SNDX;RUCBICP;21.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,82;101,06;101,06;100,82;47168652,3;;;2;;RUB;;3;
SNDX;RUCBICP;22.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,91;100,82;100,91;100,81;108565480,4;;;2;;RUB;;3;
SNDX;RUCBICP;23.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,96;100,91;100,96;100,83;101755840,3;;;2;;RUB;;3;
SNDX;RUCBICP;24.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,98;100,96;101,03;100,96;101405490,5;;;2;;RUB;;3;
SNDX;RUCBICP;27.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,93;100,98;100,98;100,92;51381628,3;;;2;;RUB;;3;
SNDX;RUCBICP;28.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,79;100,93;100,93;100,78;105264504,1;;;2;;RUB;;3;
SNDX;RUCBICP;29.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,8;100,79;100,8;100,74;91978439,9;;;2;;RUB;;3;
SNDX;RUCBICP;30.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,9;100,8;100,9;100,8;154367396,2;;;2;;RUB;;3;
SNDX;RUCBICP;31.01.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;100,99;100,9;100,99;100,88;257016884,6;;;2;;RUB;;3;
SNDX;RUCBICP;03.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;101,12;100,99;101,13;100,97;98523767,4;;;2;;RUB;;3;
SNDX;RUCBICP;04.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;101,16;101,12;101,17;101,1;103849020;;;2;;RUB;;3;
SNDX;RUCBICP;05.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;101,39;101,16;101,39;101,16;136061379,8;;;2;;RUB;;3;
SNDX;RUCBICP;06.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;101,64;101,39;101,64;101,39;142732870,7;;;2;;RUB;;3;
SNDX;RUCBICP;07.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;102,14;101,64;102,14;101,64;152549864,5;;;2;;RUB;;3;
SNDX;RUCBICP;10.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;102,34;102,14;102,35;101,71;122725339,1;;;2;;RUB;;3;
SNDX;RUCBICP;11.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;102,88;102,34;102,88;102,34;176021327,7;;;2;;RUB;;3;
SNDX;RUCBICP;12.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;103,51;102,88;103,52;102,8;417080247,5;;;2;;RUB;;3;
SNDX;RUCBICP;13.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;103,94;103,51;103,94;103,42;359358636,4;;;2;;RUB;;3;
SNDX;RUCBICP;14.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;104,17;103,94;104,18;103,69;339831146,8;;;2;;RUB;;3;
SNDX;RUCBICP;17.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;104,37;104,17;104,4;104,14;97309636,1;;;2;;RUB;;3;
SNDX;RUCBICP;18.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;104,72;104,37;104,78;104,37;144088523;;;2;;RUB;;3;
SNDX;RUCBICP;19.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;104,95;104,72;105,1;104,71;206276074,7;;;2;;RUB;;3;
SNDX;RUCBICP;20.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;104,99;104,95;105,03;104,93;142570958;;;2;;RUB;;3;
SNDX;RUCBICP;21.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;105,32;104,99;105,35;104,91;148096011,6;;;2;;RUB;;3;
SNDX;RUCBICP;25.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;105,26;105,32;105,33;105,21;118206485,2;;;2;;RUB;;3;
SNDX;RUCBICP;26.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;105,25;105,26;105,3;105,23;149386985,8;;;2;;RUB;;3;
SNDX;RUCBICP;27.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;105,36;105,25;105,4;105,25;124926888,2;;;2;;RUB;;3;
SNDX;RUCBICP;28.02.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;105,45;105,36;105,45;105,27;134362784,6;;;2;;RUB;;3;
SNDX;RUCBICP;03.03.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;105,37;105,45;105,52;105,37;227800349,8;;;2;;RUB;;3;
SNDX;RUCBICP;04.03.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;105,44;105,37;105,44;105,35;47738912,3;;;2;;RUB;;3;
SNDX;RUCBICP;05.03.2003;Индекс Мосбиржи корп обл CBICP;Индекс Мосбиржи корпоративных облигаций ценовой;105,57;105,44;105,6;105,42;146465547,6;;;2;;RUB;;3;
