history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;RUCBITR;31.12.2002;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;100;;;;;;;2;;RUB;;3;
SNDX;RUCBITR;04.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;100,02;;;;22674828,6;;;2;;RUB;;3;
SNDX;RUCBITR;05.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;100,36;;;;93193595,8;;;2;;RUB;;3;
SNDX;RUCBITR;08.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;100,7;;;;188004685,6;;;2;;RUB;;3;
SNDX;RUCBITR;09.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;100,91;;;;209484248,3;;;2;;RUB;;3;
SNDX;RUCBITR;10.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;100,98;;;;156619512,6;;;2;;RUB;;3;
SNDX;RUCBITR;13.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;101,32;;;;72505100,9;;;2;;RUB;;3;
SNDX;RUCBITR;14.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;101,47;;;;105310187,2;;;2;;RUB;;3;
SNDX;RUCBITR;15.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;101,49;;;;146494602;;;2;;RUB;;3;
SNDX;RUCBITR;16.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;101,54;;;;49442601,1;;;2;;RUB;;3;
SNDX;RUCBITR;17.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;101,56;;;;71369784,2;;;2;;RUB;;3;
SNDX;RUCBITR;20.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;101,81;;;;92653314,5;;;2;;RUB;;3;
SNDX;RUCBITR;21.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;101,68;;;;47168652,3;;;2;;RUB;;3;
SNDX;RUCBITR;22.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;101,78;;;;108565480,4;;;2;;RUB;;3;
SNDX;RUCBITR;23.01.2003;Индекс Мосбиржи корп обл CBITR;Индекс Мосбиржи корпоративных облигаций;101,88;;;;101755840,3;;;2;;RUB;;3;
