history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
RTSI;RUCBTRNS;29.12.2018;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100;100;100;100;;;;2;;RUB;;3;
RTSI;RUCBTRNS;03.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,32;100,32;100,32;100,32;;;;2;;RUB;;3;
RTSI;RUCBTRNS;04.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,51;100,51;100,51;100,51;;;;2;;RUB;;3;
RTSI;RUCBTRNS;08.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,46;100,46;100,46;100,46;;;;2;;RUB;;3;
RTSI;RUCBTRNS;09.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,49;100,49;100,49;100,49;;;;2;;RUB;;3;
RTSI;RUCBTRNS;10.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,63;100,63;100,63;100,63;;;;2;;RUB;;3;
RTSI;RUCBTRNS;11.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,82;100,82;100,82;100,82;;;;2;;RUB;;3;
RTSI;RUCBTRNS;14.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,87;100,87;100,87;100,87;;;;2;;RUB;;3;
RTSI;RUCBTRNS;15.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,88;100,88;100,88;100,88;;;;2;;RUB;;3;
RTSI;RUCBTRNS;16.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,98;100,98;100,98;100,98;;;;2;;RUB;;3;
RTSI;RUCBTRNS;17.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,99;100,99;100,99;100,99;;;;2;;RUB;;3;
RTSI;RUCBTRNS;18.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;100,98;100,98;100,98;100,98;;;;2;;RUB;;3;
RTSI;RUCBTRNS;21.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,08;101,08;101,08;101,08;;;;2;;RUB;;3;
RTSI;RUCBTRNS;22.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,1;101,1;101,1;101,1;;;;2;;RUB;;3;
RTSI;RUCBTRNS;23.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,18;101,18;101,18;101,18;;;;2;;RUB;;3;
RTSI;RUCBTRNS;24.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,11;101,11;101,11;101,11;;;;2;;RUB;;3;
RTSI;RUCBTRNS;25.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,24;101,24;101,24;101,24;;;;2;;RUB;;3;
RTSI;RUCBTRNS;28.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,31;101,31;101,31;101,31;;;;2;;RUB;;3;
RTSI;RUCBTRNS;29.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,23;101,23;101,23;101,23;;;;2;;RUB;;3;
RTSI;RUCBTRNS;30.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,38;101,38;101,38;101,38;;;;2;;RUB;;3;
RTSI;RUCBTRNS;31.01.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,38;101,38;101,38;101,38;;;;2;;RUB;;3;
RTSI;RUCBTRNS;01.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,39;101,39;101,39;101,39;;;;2;;RUB;;3;
RTSI;RUCBTRNS;04.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,5;101,5;101,5;101,5;;;;2;;RUB;;3;
RTSI;RUCBTRNS;05.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,52;101,52;101,52;101,52;;;;2;;RUB;;3;
RTSI;RUCBTRNS;06.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,61;101,61;101,61;101,61;;;;2;;RUB;;3;
RTSI;RUCBTRNS;07.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,6;101,6;101,6;101,6;;;;2;;RUB;;3;
RTSI;RUCBTRNS;08.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,57;101,57;101,57;101,57;;;;2;;RUB;;3;
RTSI;RUCBTRNS;11.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,68;101,68;101,68;101,68;;;;2;;RUB;;3;
RTSI;RUCBTRNS;12.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,73;101,73;101,73;101,73;;;;2;;RUB;;3;
RTSI;RUCBTRNS;13.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,71;101,71;101,71;101,71;;;;2;;RUB;;3;
RTSI;RUCBTRNS;14.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,75;101,75;101,75;101,75;;;;2;;RUB;;3;
RTSI;RUCBTRNS;15.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,63;101,63;101,63;101,63;;;;2;;RUB;;3;
RTSI;RUCBTRNS;18.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,81;101,81;101,81;101,81;;;;2;;RUB;;3;
RTSI;RUCBTRNS;19.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,75;101,75;101,75;101,75;;;;2;;RUB;;3;
RTSI;RUCBTRNS;20.02.2019;RUCBTRNS;Индекс МосБиржи Корпоративных Облигаций RUCBTRNS;101,81;101,81;101,81;101,81;;;;2;;RUB;;3;
