history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;RUMBICP;10.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,02;99,97;100,02;99,89;309549568,75;;6,67;2;;RUB;;3;
SNDX;RUMBICP;11.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,1;100,02;100,1;99,98;1116726205,88;;6,7;2;;RUB;;3;
SNDX;RUMBICP;12.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,11;100,06;100,12;100,02;1951709612,4;;6,74;2;;RUB;;3;
SNDX;RUMBICP;13.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,21;100,11;100,21;100,11;2868457647,92;;6,72;2;;RUB;;3;
SNDX;RUMBICP;16.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,26;100,21;100,26;100,19;926369459,52;;6,72;2;;RUB;;3;
SNDX;RUMBICP;17.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,33;100,26;100,33;100,16;3193163584,15;;6,66;2;;RUB;;3;
SNDX;RUMBICP;18.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,36;100,33;100,36;100,33;525840776,32;;6,69;2;;RUB;;3;
SNDX;RUMBICP;19.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,35;100,36;100,36;100,33;1471421913,03;;6,69;2;;RUB;;3;
SNDX;RUMBICP;20.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,37;100,35;100,41;100,35;765195459,25;;6,68;2;;RUB;;3;
SNDX;RUMBICP;23.01.2006;Индекс Мосбиржи мун обл MOEX MBICP;Индекс Мосбиржи муниципальных облигаций ценовой;100,44;100,37;100,44;100,37;4747433471,55;;6,65;2;;RUB;;3;
