history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;RUMBITR;10.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,29;100,25;100,29;100,17;309549568,75;;6,67;2;;RUB;;3;
SNDX;RUMBITR;11.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,4;100,32;100,4;100,28;1116726205,88;;6,7;2;;RUB;;3;
SNDX;RUMBITR;12.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,43;100,39;100,44;100,34;1951709612,4;;6,74;2;;RUB;;3;
SNDX;RUMBITR;13.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,55;100,46;100,56;100,46;2868457647,92;;6,72;2;;RUB;;3;
SNDX;RUMBITR;16.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,68;100,63;100,68;100,6;926369459,52;;6,72;2;;RUB;;3;
SNDX;RUMBITR;17.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,78;100,7;100,78;100,6;3193163584,15;;6,66;2;;RUB;;3;
SNDX;RUMBITR;18.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,83;100,81;100,83;100,8;525840776,32;;6,69;2;;RUB;;3;
SNDX;RUMBITR;19.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,84;100,85;100,85;100,82;1471421913,03;;6,69;2;;RUB;;3;
SNDX;RUMBITR;20.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,88;100,86;100,92;100,86;765195459,25;;6,68;2;;RUB;;3;
SNDX;RUMBITR;23.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,77;100,71;100,77;100,71;4747433471,55;;6,65;2;;RUB;;3;
SNDX;RUMBITR;24.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,76;100,77;100,8;100,69;3899617481,75;;6,68;2;;RUB;;3;
SNDX;RUMBITR;25.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,83;100,78;100,85;100,71;3284993515,5;;6,68;2;;RUB;;3;
SNDX;RUMBITR;26.01.2006;Индекс Мосбиржи мун обл MBITR;Индекс Мосбиржи муниципальных облигаций;100,81;100,85;100,87;100,8;2995329780;;6,79;2;;RUB;;3;
