history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
RTSI;RUPAI;28.12.2007;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;1000;1000;1000;1000;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;09.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;1002;1002;1002;1002;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;10.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;1002,9;1002,9;1002,9;1002,9;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;11.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;1002,48;1002,48;1002,48;1002,48;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;14.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;1004,84;1004,84;1004,84;1004,84;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;15.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;1008,1;1008,1;1008,1;1008,1;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;16.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;994,56;994,56;994,56;994,56;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;17.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;985,75;985,75;985,75;985,75;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;18.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;980,72;980,72;980,72;980,72;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;21.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;963,42;963,42;963,42;963,42;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;22.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;939,61;939,61;939,61;939,61;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;23.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;941,14;941,14;941,14;941,14;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;24.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;945,73;945,73;945,73;945,73;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;25.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;953,6;953,6;953,6;953,6;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;28.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;943,02;943,02;943,02;943,02;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;29.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;945,89;945,89;945,89;945,89;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;30.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;943,02;943,02;943,02;943,02;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;31.01.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;930,83;930,83;930,83;930,83;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;01.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;937,7;937,7;937,7;937,7;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;04.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;946,84;946,84;946,84;946,84;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;05.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;946,96;946,96;946,96;946,96;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;06.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;934,9;934,9;934,9;934,9;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;07.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;927,96;927,96;927,96;927,96;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;08.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;926,69;926,69;926,69;926,69;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;11.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;929,97;929,97;929,97;929,97;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;12.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;938,12;938,12;938,12;938,12;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;13.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;940,05;940,05;940,05;940,05;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;14.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;948,07;948,07;948,07;948,07;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;15.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;939,65;939,65;939,65;939,65;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;18.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;943,77;943,77;943,77;943,77;0;;;2;0;RUB;0,000000;3;
RTSI;RUPAI;19.02.2008;Агрессивный индекс;Индексы активов пенсионных накоплений - Агрессивный;942,15;942,15;942,15;942,15;0;;;2;0;RUB;0,000000;3;
