history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
RTSI;RUPCI;28.12.2007;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1000;1000;1000;1000;0;;;2;0;RUB;;3;
RTSI;RUPCI;09.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1002,36;1002,36;1002,36;1002,36;0;;;2;0;RUB;;3;
RTSI;RUPCI;10.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1002,41;1002,41;1002,41;1002,41;0;;;2;0;RUB;;3;
RTSI;RUPCI;11.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1002,83;1002,83;1002,83;1002,83;0;;;2;0;RUB;;3;
RTSI;RUPCI;14.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1003,46;1003,46;1003,46;1003,46;0;;;2;0;RUB;;3;
RTSI;RUPCI;15.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1003,29;1003,29;1003,29;1003,29;0;;;2;0;RUB;;3;
RTSI;RUPCI;16.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1003,63;1003,63;1003,63;1003,63;0;;;2;0;RUB;;3;
RTSI;RUPCI;17.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1004,05;1004,05;1004,05;1004,05;0;;;2;0;RUB;;3;
RTSI;RUPCI;18.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1004,3;1004,3;1004,3;1004,3;0;;;2;0;RUB;;3;
RTSI;RUPCI;21.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1004,37;1004,37;1004,37;1004,37;0;;;2;0;RUB;;3;
RTSI;RUPCI;22.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1004,04;1004,04;1004,04;1004,04;0;;;2;0;RUB;;3;
RTSI;RUPCI;23.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1004,03;1004,03;1004,03;1004,03;0;;;2;0;RUB;;3;
RTSI;RUPCI;24.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1004,34;1004,34;1004,34;1004,34;0;;;2;0;RUB;;3;
RTSI;RUPCI;25.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1004,59;1004,59;1004,59;1004,59;0;;;2;0;RUB;;3;
RTSI;RUPCI;28.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1005,03;1005,03;1005,03;1005,03;0;;;2;0;RUB;;3;
RTSI;RUPCI;29.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1005,3;1005,3;1005,3;1005,3;0;;;2;0;RUB;;3;
RTSI;RUPCI;30.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1005,58;1005,58;1005,58;1005,58;0;;;2;0;RUB;;3;
RTSI;RUPCI;31.01.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,02;1006,02;1006,02;1006,02;0;;;2;0;RUB;;3;
RTSI;RUPCI;01.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1005,97;1005,97;1005,97;1005,97;0;;;2;0;RUB;;3;
RTSI;RUPCI;04.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,31;1006,31;1006,31;1006,31;0;;;2;0;RUB;;3;
RTSI;RUPCI;05.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,71;1006,71;1006,71;1006,71;0;;;2;0;RUB;;3;
RTSI;RUPCI;06.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,74;1006,74;1006,74;1006,74;0;;;2;0;RUB;;3;
RTSI;RUPCI;07.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,7;1006,7;1006,7;1006,7;0;;;2;0;RUB;;3;
RTSI;RUPCI;08.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,41;1006,41;1006,41;1006,41;0;;;2;0;RUB;;3;
RTSI;RUPCI;11.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,75;1006,75;1006,75;1006,75;0;;;2;0;RUB;;3;
RTSI;RUPCI;12.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,62;1006,62;1006,62;1006,62;0;;;2;0;RUB;;3;
RTSI;RUPCI;13.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,53;1006,53;1006,53;1006,53;0;;;2;0;RUB;;3;
RTSI;RUPCI;14.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,48;1006,48;1006,48;1006,48;0;;;2;0;RUB;;3;
RTSI;RUPCI;15.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,73;1006,73;1006,73;1006,73;0;;;2;0;RUB;;3;
RTSI;RUPCI;18.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,95;1006,95;1006,95;1006,95;0;;;2;0;RUB;;3;
RTSI;RUPCI;19.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1006,53;1006,53;1006,53;1006,53;0;;;2;0;RUB;;3;
RTSI;RUPCI;20.02.2008;Консервативный индекс;Индексы активов пенсионных накоплений - Консервативный;1005,95;1005,95;1005,95;1005,95;0;;;2;0;RUB;;3;
