history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
RTSI;RUPMI;28.12.2007;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;1000;1000;1000;1000;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;09.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;1002,2;1002,2;1002,2;1002,2;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;10.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;1002,63;1002,63;1002,63;1002,63;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;11.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;1002,68;1002,68;1002,68;1002,68;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;14.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;1004,07;1004,07;1004,07;1004,07;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;15.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;1005,43;1005,43;1005,43;1005,43;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;16.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;999,6;999,6;999,6;999,6;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;17.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;995,92;995,92;995,92;995,92;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;18.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;993,82;993,82;993,82;993,82;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;21.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;986,17;986,17;986,17;986,17;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;22.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;975,4;975,4;975,4;975,4;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;23.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;976,08;976,08;976,08;976,08;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;24.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;978,29;978,29;978,29;978,29;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;25.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;981,93;981,93;981,93;981,93;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;28.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;977,47;977,47;977,47;977,47;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;29.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;978,89;978,89;978,89;978,89;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;30.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;977,77;977,77;977,77;977,77;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;31.01.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;972,6;972,6;972,6;972,6;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;01.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;975,63;975,63;975,63;975,63;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;04.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;979,88;979,88;979,88;979,88;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;05.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;980,16;980,16;980,16;980,16;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;06.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;974,81;974,81;974,81;974,81;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;07.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;971,7;971,7;971,7;971,7;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;08.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;970,98;970,98;970,98;970,98;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;11.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;972,62;972,62;972,62;972,62;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;12.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;976,17;976,17;976,17;976,17;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;13.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;976,99;976,99;976,99;976,99;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;14.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;980,52;980,52;980,52;980,52;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;15.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;976,92;976,92;976,92;976,92;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;18.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;978,87;978,87;978,87;978,87;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;19.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;977,91;977,91;977,91;977,91;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;20.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;975,95;975,95;975,95;975,95;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;21.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;979,11;979,11;979,11;979,11;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;22.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;979,02;979,02;979,02;979,02;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;26.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;980,39;980,39;980,39;980,39;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;27.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;979,52;979,52;979,52;979,52;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;28.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;977,92;977,92;977,92;977,92;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;29.02.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;977,86;977,86;977,86;977,86;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;03.03.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;974,16;974,16;974,16;974,16;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;04.03.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;974,62;974,62;974,62;974,62;0;;;2;0;RUB;0,000000;3;
RTSI;RUPMI;05.03.2008;Сбалансированный индекс;Индексы активов пенсионных накоплений - Сбалансированный;974,78;974,78;974,78;974,78;0;;;2;0;RUB;0,000000;3;
